sender,receiver,edge_type
julspfolklore,alanmadanes,reply
safarnum,NGSS_tweeps,reply
jktherealone,loveis9597,reply
MideCokz,Seeker0502,reply
LGates_science,NGSS_tweeps,reply
OfficialNGSS,LizAlbertorio,reply
k_vanteth,tete_snowball,reply
Sarthaksavvy,vsnthdev,reply
RudyChem,LGates_science,reply
joeielynsarona,ayughni,reply
JessicaFGWrites,KRScienceLady,reply
KRScienceLady,JessicaFGWrites,reply
KRScienceLady,NGSS_tweeps,reply
LGates_science,NGSS_tweeps,reply
BridgetA007,leadinsci,reply
Albaloiy,frzfrze,reply
drloriandersen,SamLMontano,reply
philiplbell,philiplbell,reply
28_mattya,g_yt_r,reply
philiplbell,philiplbell,reply
philiplbell,philiplbell,reply
BridgetA007,NWS_MountHolly,reply
minghaohyeong,donanaras,reply
jarodpeachey,ngss_official,reply
brinkmanscience,KHeydrick,reply
Pollen____,YT_TL_,reply
auntjennoelle,JessicaFGWrites,reply
JessicaFGWrites,NGSS_tweeps,reply
pjeonkth,jkgooky,reply
tbrennan59,SBclassroom,reply
digitaltidepool,AmoebaSisters,reply
AStepAheadMath,rettuej,reply
RachelCTA,LeenaBMc,reply
jmgdrama,scifibulle,reply
nicolejbolduc,sbottasullivan,reply
NessaLuv,steak_umm,reply
sbottasullivan,sci_rocksstars,reply
linds4fins,Keysfins,reply
NGSS_tweeps,NGSS_tweeps,reply
VictoriaTheTech,Filibuster3,reply
NGSS_tweeps,NGSS_tweeps,reply
Dauanasfa,Dauanasfa,reply
OfficialNGSS,NGSS_tweeps,reply
NGSS_tweeps,NGSS_tweeps,reply
TracyMailloux,gilkatgil,reply
CynicatPro,XYZ360,reply
VogelWendi,tracyjamesrossi,reply
BridgetA007,NWS_MountHolly,reply
MrJoeMilliano,safarnum,reply
jtrejo8,alicekeeler,reply
XYZ360,CynicatPro,reply
dngranucci,miroyscience,reply
missnoriscience,sbottasullivan,reply
_adverbia,_adverbia,reply
JessicaFGWrites,midgeyergen11,reply
Lotus_Lia_,Nightbat152,reply
Airtel_Presence,ngss_official,reply
Headless_Waltz,Headless_Waltz,reply
PeggyAshbrook,JessicaFGWrites,reply
SarahOpenSciEd,TdiShelton,reply
TdiShelton,anne_mayre,reply
B_Berns,TdiShelton,reply
2footgiraffe,apoduvall,reply
TdiShelton,katesor1027,reply
TdiShelton,teli_ms,reply
2footgiraffe,2footgiraffe,reply
TdiShelton,TedWillard2061,reply
xpineapplebabe,habebahazemx,reply
Quadforce,Quadforce,reply
TdiShelton,krademaker,reply
APNLuke,gretchenmilary,reply
PatriciaNewman,PatriciaNewman,reply
PatriciaNewman,PatriciaNewman,reply
maredimare,saucedoscience,reply
TdiShelton,reiserbrianj,reply
robert_rwallace,numericalguy,reply
Doc_AOC,sbottasullivan,reply
MisterSci,MisterSci,reply
007Artemisa,VeronicaWelkner,reply
flabellinaJG,NGSS_tweeps,reply
ccc_thinking,ccc_thinking,reply
JessicaFGWrites,JessicaFGWrites,reply
lisa_bastedo,NGSS_tweeps,reply
LearnInPlaces,LearnInPlaces,reply
OfficialNGSS,OfficialNGSS,reply
richbacolor,NGSS_tweeps,reply
tabor_sarah,NGSS_tweeps,reply
teachearthspace,NGSS_tweeps,reply
lisa_bastedo,NGSS_tweeps,reply
BeranekGroup,UNCWLaMaskinLab,reply
the_fish_nerd,richbacolor,reply
saucedoscience,TechEdARR,reply
richbacolor,the_fish_nerd,reply
UNCWLaMaskinLab,NGSS_tweeps,reply
dr_earthquake,JessicaFGWrites,reply
BTopink,NGSS_tweeps,reply
the_fish_nerd,NGSS_tweeps,reply
RAazzerah,JessicaFGWrites,reply
EarthSciEd,Xeno_lith,reply
phlaii_87,NGSS_tweeps,reply
TechEdARR,maredimare,reply
ChrissiesArm,NGSS_tweeps,reply
liorschenk,liorschenk,reply
liorschenk,NGSS_tweeps,reply
chocowonsang,chocowonsang,reply
haverlycm,BMSscienceteach,reply
richbacolor,NGSS_tweeps,reply
BMSscienceteach,NGSS_tweeps,reply
BruceShark5,NGSS_tweeps,reply
BMSscienceteach,NGSS_tweeps,reply
BMSscienceteach,NGSS_tweeps,reply
alexbclearning,alexbclearning,reply
alexbclearning,NGSS_tweeps,reply
kazuki_mstjcr,rinndou_mic,reply
SaltySandals,NGSS_tweeps,reply
CsndrCGnzlz,NGSS_tweeps,reply
mcmsharksxx,richbacolor,reply
the_fish_nerd,NGSS_tweeps,reply
the_fish_nerd,NGSS_tweeps,reply
richbacolor,misteraycock,reply
just_too_nice,damiani_28,reply
JK72849774,Bakari_Sellers,reply
rvccngss,rvccngss,reply
BMSscienceteach,safarnum,reply
shinji666_,dojairbolsonaro,reply
Bnt_alwaleed1,_voow,reply
Mikelennial,timjawnders,reply
sevdalinakisler,Nazo00301604,reply
MrsR_Villanueva,KaneoheEl,reply
girliesack,davidjoachim,reply
savlopss18,MateusS66247884,reply
Tina_Cheuk,LearnInPlaces,reply
LeenaBMc,STEM4Real,reply
OfficialNGSS,OfficialNGSS,reply
shookjins,shookjins,reply
CruelSlagar,DrKarlynB,reply
mshcrowder,MsGreenLevine,reply
mshcrowder,richbacolor,reply
AACTconnect,MsGreenLevine,reply
HarvardForest,HarvardForest,reply
frizzlerichard,frizzlerichard,reply
CErSE_US,CErSE_US,reply
digitaltidepool,JennySarna,reply
digitaltidepool,nextgenscience,reply
MsLorisStory,rachelbconnolly,reply
VictoriaTheTech,msexcel,reply
msexcel,Filibuster3,reply
VictoriaTheTech,IanMikutel,reply
IanMikutel,VictoriaTheTech,reply
VictoriaTheTech,Filibuster3,reply
KathyMschotschi,RealJamesWoods,reply
BaronDana,EinsteinsGurl2,reply
WmGReed,WmGReed,reply
ETWiseGuy,KatieJMcNamara,reply
5m__5m__5m,alnood_f_16,reply
LeenaBMc,BlackinSTEMEd,reply
LeenaBMc,richbacolor,reply
TemidayoOlamiju,Odunadekolade,reply
OfficialNGSS,OfficialNGSS,reply
sciresSoehl,c_leece,reply
shroff_manan,ngss_official,reply
KRScienceLady,wiscileaders,reply
drloriandersen,ksscienceguy,reply
BK3DSci,krademaker,reply
cpalm99,cpalm99,reply
LGates_science,BK3DSci,reply
LGates_science,MsLorisStory,reply
AJZ_313,LGates_science,reply
