name,responded,indegree,betweennessdegree,professional_role,professional_role_10_text_coded,freq_use,length_of_use,confidence_ngss,know_framework,know_ngss,use_of_ngsschat,code
corabelle1974,TRUE,0,0,Teacher,NA,Frequency of use varies (please describe),2- 3 years,Average,Good,Good,Daily,Teacher
mrsg_slp,TRUE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,Teacher
ashleysbloch,TRUE,0,0,Teacher,NA,Monthly,3 years or more,Average,Good,Good,2-3 times a week,Teacher
cowboykjo,TRUE,0,0,Teacher,NA,Participated once or twice,2- 3 years,Poor,Average,None,Never,Teacher
teachearthspace,TRUE,0,0,Teacher,NA,Frequency of use varies (please describe),3 years or more,Good,Excellent,Excellent,2-3 times a week,Teacher
tksciguy,TRUE,0,0,Teacher,NA,Monthly,3 years or more,Good,Good,Good,Once a week,Teacher
mistersci,TRUE,0,0,Teacher,NA,Every other week,2- 3 years,Good,Good,Good,Once a week,Teacher
eacole09,TRUE,0,0,Instructional Leader,NA,Frequency of use varies (please describe),3 years or more,Excellent,Excellent,Excellent,Monthly,Instructional Leader
kimmomteacher,TRUE,0,0,Teacher,NA,Every other week,1- 2 years,Average,Average,Average,Once a week,Teacher
tanea_hibler,TRUE,0,0,Teacher,NA,Participated once or twice,2- 3 years,Good,Good,Average,Frequency of use varies (please describe),Teacher
wisdpiscience,TRUE,0,0,Instructional Leader,administrator,Frequency of use varies (please describe),3 years or more,Excellent,Excellent,Excellent,Frequency of use varies (please describe),Instructional Leader
annamccarroll,TRUE,0,0,Teacher,NA,Monthly,3 years or more,Good,Good,Good,2-3 times a week,Teacher
cariwilliamz,TRUE,0,0,Instructional Leader,researcher,Participated once or twice,3 years or more,Excellent,Excellent,Excellent,Once a week,Instructional Leader
tina_cheuk,TRUE,0,0,Faculty,NA,Participated once or twice,3 years or more,Good,Excellent,Excellent,Monthly,Researcher
sci-teacher,TRUE,0,0,Teacher,NA,Every other week,6 months - 1 year,Average,Average,Good,Monthly,Teacher
raazzerah,TRUE,0,0,Instructional Leader,NA,Monthly,3 years or more,Excellent,Excellent,Excellent,Daily,Instructional Leader
drprinceedu,TRUE,0,0,Teacher,NA,Frequency of use varies (please describe),3 years or more,Average,Average,Average,2-3 times a week,Teacher
safarnum,TRUE,0,0,Teacher,NA,Monthly,3 years or more,Excellent,Excellent,Excellent,Once a week,Teacher
33heupel,TRUE,0,0,Teacher,NA,Participated once or twice,3 years or more,Average,Average,Average,Frequency of use varies (please describe),Teacher
tkatovich,TRUE,0,0,Teacher,NA,Participated once or twice,3 years or more,Excellent,Excellent,Excellent,Monthly,Teacher
nateallensnyde,TRUE,0,0,Teacher,NA,Monthly,3 years or more,Good,Good,Good,Once a week,Teacher
prosenteach,TRUE,0,0,Teacher,NA,Every other week,2- 3 years,Good,Good,Average,Once a week,Teacher
ngssmademedoit,TRUE,0,0,Teacher,NA,Every other week,3 years or more,Average,Good,Average,Daily,Teacher
calliescience,TRUE,0,0,Teacher,NA,Monthly,3 years or more,Excellent,Excellent,Excellent,Monthly,Teacher
bowtie_sciguy,TRUE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,Missing
sagemountaintr2,TRUE,0,0,Teacher,NA,Every other week,2- 3 years,Good,Good,Good,Once a week,Teacher
dramyhimes,TRUE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,Researcher
backeseric,TRUE,0,0,Teacher,NA,Monthly,3 years or more,Good,Good,Good,2-3 times a week,Teacher
georgiabracey,TRUE,0,0,Teacher,NA,Monthly,3 years or more,Poor,Good,Good,2-3 times a week,Teacher
jeffgiliberto,TRUE,0,0,Teacher,NA,Monthly,2- 3 years,Poor,Good,Good,Once a week,Teacher
marismiller6,TRUE,0,0,Instructional Leader,NA,Frequency of use varies (please describe),2- 3 years,Good,Excellent,Excellent,Monthly,Instructional Leader
