sender,receiver,professional_role,professional_role_10_text_coded,freq_use,length_of_use,confidence_ngss,know_framework,know_ngss,use_of_ngsschat
marismiller6,sbottasullivan,Instructional Leader,NA,Frequency of use varies (please describe),2- 3 years,Good,Excellent,Excellent,Monthly
frizzlerichard,lizette_burks,Teacher,NA,Monthly,3 years or more,Good,Good,Good,2-3 times a week
terry711,cahoisy,Instructional Leader,coach,Frequency of use varies (please describe),3 years or more,Average,Good,Good,2-3 times a week
ashley_green2,tjscience,Teacher,NA,Every other week,3 years or more,Good,Good,Good,Monthly
karalu79,2footgiraffe,Teacher,NA,Frequency of use varies (please describe),3 years or more,Excellent,Excellent,Excellent,Daily
nicolejbolduc,leena219,Teacher,NA,Participated once or twice,3 years or more,Excellent,Good,Excellent,Monthly
nicolejbolduc,leena219,Teacher,NA,Every other week,3 years or more,Average,Average,Good,Daily
kmgill135,wandabryant,Organization,coach,Every other week,3 years or more,Excellent,Excellent,Excellent,Never
wandabryant,gretchenmilary,NA,NA,NA,NA,NA,NA,NA,NA
bmsscienceteach,richbacalor,Teacher,NA,Monthly,3 years or more,Good,Good,Good,Daily
anne_mayre,starrscience,Teacher,NA,Every other week,3 years or more,Good,Good,Excellent,2-3 times a week
achosinfo,ibchemmilam,Other,consultant,Every other week,3 years or more,Average,Good,Good,Frequency of use varies (please describe)
mslorisstory,flabellinajg,Instructional Leader,NA,Monthly,3 years or more,Excellent,Excellent,Excellent,Monthly
lyn13360,tedwillard2061,NA,NA,NA,NA,NA,NA,NA,NA
scijeanne,stemteachtools,Organization,researcher,Every other week,3 years or more,Excellent,Excellent,Excellent,2-3 times a week
sbottasullivan,krenaep,Instructional Leader,NA,Every other week,1- 2 years,Good,Good,Good,2-3 times a week
auntjennoelle,krsciencelady,Instructional Leader,administrator,Frequency of use varies (please describe),3 years or more,Excellent,Excellent,Excellent,Once a week
corabelle1974,krenaep,Teacher,NA,Frequency of use varies (please describe),2- 3 years,Average,Good,Good,Daily
ksscienceguy,bpenuel,Organization,NA,Frequency of use varies (please describe),3 years or more,Excellent,Excellent,Excellent,Frequency of use varies (please describe)
tksciguy,starrscience,Teacher,NA,Monthly,3 years or more,Good,Good,Good,Once a week
mistersci,tdishelton,Teacher,NA,Every other week,2- 3 years,Good,Good,Good,Once a week
digitaltidepool,philiplbell,Teacher,NA,Participated once or twice,3 years or more,Good,Good,Good,Monthly
kimmomteacher,wandabryant,Teacher,NA,Every other week,1- 2 years,Average,Average,Average,Once a week
