"name","indegree_all","betweenness_all","indegree_reply","betweenness_reply","indegree_retweet","betweenness_retweet","indegree_mention","betweenness_mention","responded","indegree_survey","betweenness_survey","professional_role","professional_role_10_text_coded","freq_use","length_of_use","confidence_ngss","know_framework","know_ngss","use_of_ngsschat","code"
"miroyscience",26,56236.1788405615,1,0,7,1736.76274562823,18,55471.4643510584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sciencebuddies",26,44,NA,NA,13,0,13,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"definedlearning",26,0,NA,NA,13,0,13,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"msventurino",26,0,NA,NA,13,0,13,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ngss",26,0,NA,NA,NA,NA,26,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"inqits",25,12512.1747195925,3,0,11,2049.6591026377,11,12100.4998837715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amilversted",25,6858.87541705439,1,2,2,0,22,6780.8367587937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"exploratorium",25,0,1,0,3,0,21,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cuevasantillon",25,10765.2619047623,NA,NA,12,0,13,12090.5000000003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"jenniferfine5",25,20214.5155905668,4,0,6,2976.59582086213,15,19115.7512857551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mbcue",25,204.245480000586,NA,NA,7,5,18,203.092475140238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nasastem",25,0,NA,NA,8,0,17,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nasa",25,0,NA,NA,1,0,24,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cjcochrane21",24,197159.987424395,0,0,4,21360.1681348078,20,198256.314596589,FALSE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,"Instructional Leader"
"teemsproject",24,16351.5126503372,1,0,8,0,15,16341.9555492267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sheila_ro1",24,13684.8666666667,NA,NA,12,1815,12,13282.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"buwheelock",24,792.871316535763,NA,NA,0,0,24,963.40531633998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pintobeanz11",24,2785,NA,NA,12,11,12,2785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"thegentlebarn",24,7,NA,NA,8,7,16,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"apoduvall",24,60690.4154540241,1,0,11,0,12,60442.1696135806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cancercuredoc",24,2797,NA,NA,12,0,12,2797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"thesocialcore",24,12712.0890807862,NA,NA,9,0,15,12404.6029104091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nationalzoo",24,84,NA,NA,12,0,12,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"digitalpromise",24,30371.8029580746,NA,NA,8,0,16,29881.3427437264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tksciguy",24,0,NA,NA,6,0,18,0,TRUE,0,0,"Teacher",NA,"Monthly","3 years or more","Good","Good","Good","Once a week","Teacher"
"rebecca_hicken",24,0,NA,NA,12,0,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nagtgeo",24,0,NA,NA,NA,NA,24,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mrsetense",23,17885.2923240677,3,1566.49837342059,8,980.71599281486,12,18357.3150261588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"daleyscience",23,18132.2965045687,0,0,11,1249.40507735308,12,17613.2470391916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"susangomezzwiep",23,6191.65916915526,NA,NA,1,0,22,7243.71564275188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"drcrean",23,5561.1868482483,1,0,1,1,21,5958.5846307614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mdhero",23,67287.4397075238,1,0,5,3952,17,66908.9674240847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"smithsonianedu",23,1722.39999999993,NA,NA,11,9,12,1444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mindshiftkqed",23,2793,NA,NA,11,0,12,2793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dtcampbe",23,0,NA,NA,NA,NA,23,0,FALSE,6,0,NA,NA,NA,NA,NA,NA,NA,NA,"Researcher"
"btopink",22,9053.00516439954,1,320,6,1974,15,8978.03287013267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"venturacoe",22,0,NA,NA,6,0,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tylercbritt",22,7140.62070540444,1,0,10,1533.46562491983,11,6901.38569348272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mstamich",22,16482.760887885,NA,NA,1,1.3921568627451,21,16532.5998454747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"scienceonseven",22,12526.3160749804,NA,NA,11,0,11,12295.9198885017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"wgbh_edu",22,0,NA,NA,6,0,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"koehlertara",22,0,NA,NA,3,0,19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dyereliz",21,7782.31410564426,5,1233.3874120337,2,6175.38002418999,14,7970.47296902282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"frankmcgowa",21,12854.9865918794,1,0,9,0,11,11013.279761245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"liorschenk",21,23173.0172210223,1,0,10,4143.09651002187,10,22117.9809439571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"shmoovyshmoov",21,21057.391739243,3,3700.67547390413,3,477.471667137057,15,21183.9473915107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"shscilabteacher",21,4642.85797509405,3,15315.6269756932,6,282.149353849623,12,3597.8999500197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"serratore4",21,6154.11578174029,1,0,10,1096.23478089461,10,5488.91056019372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"chrismooresci",21,5133.41590675529,NA,NA,9,17,12,4999.36295967881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"finklab",21,5577,NA,NA,0,0,21,5577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nkeigher202",21,0,NA,NA,9,0,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"zoom_us",21,0,NA,NA,NA,NA,21,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amylillingworth",20,6195.12473809682,1,0,3,5.75,16,6354.6231386874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"missnoriscience",20,8333.82753675181,2,1628.19883766323,7,2111.46706554659,11,8695.77879853973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cariwilliamz",20,13486.5702613765,1,2.33333333333333,8,1154.9569010893,11,13052.9568264935,TRUE,0,0,"Instructional Leader","researcher","Participated once or twice","3 years or more","Excellent","Excellent","Excellent","Once a week","Instructional Leader"
"kollmanrebecca",20,15883.4331063714,3,825,6,844.357868733311,11,16206.3105649867,TRUE,1,19,"Teacher",NA,"Frequency of use varies (please describe)","3 years or more","Average","Average","Good","Once a week","Teacher"
"kerriwingert",20,1000.20255445806,1,823,2,15.8747986613077,17,1259.61355465167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cadrek12",20,25863.9595136776,NA,NA,6,2877.98774582318,14,25303.5169467519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"monica_vincent",20,6998.1678197859,NA,NA,10,1126.78439402077,10,6797.10914204116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mstewartscience",20,20511,NA,NA,9,2920,11,19908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"vawolb",20,60.6738355535054,3,0,4,0.962147566411736,13,55.4637143145795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"jenswanbooks",20,33176.9646270823,NA,NA,10,0,10,32747.9920475612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adoptedelf",20,2784.5,NA,NA,9,0,11,2784.66666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aliciamotter",20,11172,1,0,8,0,11,11172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mrsfarbercvr",20,0,NA,NA,10,0,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"randiejohnson5",20,0,1,0,6,0,13,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"brainpop",20,0,NA,NA,4,0,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nselascience",20,0,NA,NA,3,0,17,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"caroyce",20,0,NA,NA,7,0,13,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"googlejamboard",20,0,NA,NA,NA,NA,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"teachearthspace",19,25488.4238389602,3,1515.50184990428,4,1552.36366526279,12,25513.8826244685,TRUE,0,0,"Teacher",NA,"Frequency of use varies (please describe)","3 years or more","Good","Excellent","Excellent","2-3 times a week","Teacher"
"msxgarcia",19,14035.0822868069,1,0,9,0,9,14000.8581424986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sportillo1357",19,55399.7534071334,0,0,3,0,16,55648.8281075095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"missstrunk",19,18174.6666666667,1,0,9,2908,9,17638.6666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"wright_ghs",19,3293.9520799751,4,8990.20193460534,6,0,9,3331.57465811966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"stemequality",19,888.942630674975,NA,NA,0,0,19,1140.23332008724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"laceyeckels",19,12816.9568934003,3,0,2,726,14,12696.2632372857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"vistangss",19,17112.4880940135,NA,NA,4,3636.2505284826,15,21844.3192222979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ca_scas2",19,16136.7871253527,NA,NA,7,1089,12,15968.7423975425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"anikolatech",19,59.0050734519841,NA,NA,2,3,17,57.9701128758348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sheaferoadrocks",19,8.9469696969697,NA,NA,0,0,19,8.9469696969697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"islandwood",19,589.551216849868,NA,NA,5,0,14,710.748292871726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"science2020k6",19,8656.46765427613,NA,NA,9,0,10,8656.90279115958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"robwhamilton41",19,0,NA,NA,9,0,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"padlet",19,0,NA,NA,NA,NA,19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"wcsdtechdr",19,0,NA,NA,NA,NA,19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tzouct",19,0,NA,NA,NA,NA,19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sartoristem",19,0,NA,NA,NA,NA,19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"newhousebiology",18,27188.1603836884,3,625.157408783942,6,0,9,26814.8594196711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"barondana",18,24528.9341964261,1,321,8,1663.56043536147,9,24181.0113700223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"stacyktweets",18,31866.3764269946,1,2,7,0,10,31763.5079562195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"educre8ive",18,62786.5518661367,NA,NA,9,2335,9,62864.3961640854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"phetsims",18,12201.0392102241,NA,NA,1,364,17,13377.3900382399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"vicpasquantonio",18,209804.083468368,NA,NA,8,37727.8809062788,10,203301.754448342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mss_wested",18,2796.67880397715,NA,NA,1,0,17,2800.12115175057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"brownpatrick8",18,5184.27670838498,NA,NA,9,726.982018442623,9,4969.83327681108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"theresajhall",18,111.268065268065,NA,NA,9,6.75,9,109.952380952381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"wcsdempowers",18,27.2004156674033,NA,NA,0,0,18,27.9118792971734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"njstanews",18,7061.91915186764,NA,NA,1,81.0548279667079,17,7006.4220284423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mascienceteach",18,2786,NA,NA,1,0,17,2786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"teacherkimj",18,0,4,0,NA,NA,14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"njscnews",18,0,NA,NA,NA,NA,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"carbontime",18,0,NA,NA,NA,NA,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aschout10",18,0,NA,NA,NA,NA,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nsf",18,0,NA,NA,NA,NA,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"eveimanz",17,22105.3323817626,1,3265.22734821211,3,874.248786781449,13,24382.3601596953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"jhubb546",17,72004.8536339932,5,679.203552651847,3,0,9,68448.2758706756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"clbmanning",17,11304.1465227344,3,3559,4,385.343831361044,10,8971.51007724241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lisa_bastedo",17,5946.01783259849,5,1238.13901710179,3,724,9,5239.72937061809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"phenomen__al",17,5984.47105904837,3,416,1,1710.67590332121,13,5587.91505978006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nathan_inouye",17,55787.1521959405,0,0,2,52.221258085853,15,55434.3839773668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tiffanyneill",17,9008.57707907052,NA,NA,7,3145.81918232404,10,9116.27061272121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"charnobyl1",17,6768.07437932954,NA,NA,1,295.17805239261,16,6703.00540848411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cowlishawkoalas",17,2.08791208791209,NA,NA,0,0,17,3.075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"newvisionsnyc",17,69.2212137351909,NA,NA,0,0,17,68.6389348572802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kimberleyastle",17,4543.51075153603,NA,NA,7,0,10,4411.48838252757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mrshigginsri",17,0,NA,NA,7,0,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"jessicaturnerny",17,0,NA,NA,NA,NA,17,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"calabr",17,0,NA,NA,NA,NA,17,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ngssstorylines",17,0,NA,NA,NA,NA,17,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s",17,0,NA,NA,NA,NA,17,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"melshep34",16,116821.03871242,1,2504.27492041135,7,0,8,116345.077330186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nflynnseattle",16,42959.8268066865,5,787.362663046324,3,611.737026359149,8,42797.7106075924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"msmagaryphysics",16,18807.7643167945,9,1505.23850458427,NA,NA,7,18720.5703424763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ibchemmilam",16,459.544601869625,3,640,1,0,12,418.862470778973,FALSE,2,0,NA,NA,NA,NA,NA,NA,NA,NA,"Teacher"
"mancusoscience",16,11310.1788310356,3,961,4,0,9,11222.3430113807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ngss4oregon",16,24313.5790997774,0,0,7,1239.04924045887,9,24216.1865222423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kristinoropeza",16,43639.5555594704,0,0,3,1101,13,43319.465608579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"jste1924",16,7135.75013200063,NA,NA,7,1130.85521560564,9,6901.13395124243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"seesaw",16,15628.5545661595,NA,NA,0,0,16,17782.1676382096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rvis_bh",16,1,NA,NA,0,0,16,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"elevatedstem",16,2736.81092791913,NA,NA,6,919.976594759485,10,2996.84249241041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lisalista73",16,23400.6273309242,NA,NA,3,0,13,22831.3057478434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"casitamagnet",16,0,NA,NA,1,0,15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"erinsmayer",16,16386.4687125086,NA,NA,8,0,8,15984.4668597717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"wadein2science",16,10641.4699610224,NA,NA,8,0,8,10578.9721005253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"magnitudeio",16,6,NA,NA,8,0,8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aps_tln",16,31,NA,NA,8,0,8,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"googleforedu",16,0,1,0,NA,NA,15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nats_science",16,0,NA,NA,7,0,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pearsonprek12",16,0,NA,NA,8,0,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mindfuelca",16,0,NA,NA,7,0,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tiascience",16,0,NA,NA,8,0,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nycschools",16,0,NA,NA,NA,NA,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"jmnorrisisp",16,0,NA,NA,NA,NA,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rachelbconnolly",15,37893.4420462536,3,583.7168913573,2,386.257073667802,10,45781.9438450423,TRUE,0,0,NA,NA,"Monthly","3 years or more","Good","Excellent","Excellent","Frequency of use varies (please describe)","Missing"
"paidinappls",15,2270,1,1,NA,NA,14,2203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"goldenplunger",15,25319.5140546828,0,0,7,1198.01700856436,8,25184.7810365374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"jacsarnese",15,8655.01525287979,1,0,6,2164.97659475949,8,8085.64818334969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"taftphaedra1",15,229.592821107121,4,0,NA,NA,11,394.267327246552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ladyhammett",15,3.79018800429613,5,1.92124542124542,4,0,6,2.29892369554282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"davidenorman",15,2850.08083741152,6,430.175582714374,0,0,9,2863.31007619269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bookcreatorapp",15,698.166305916306,NA,NA,0,0,15,1116.29848484846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"twnklstrr",15,7301.43044767904,NA,NA,0,0,15,7214.46119099227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"stella_pollard",15,33,1,0,4,4,10,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"californiapta",15,16403.6168418585,NA,NA,4,1089,11,16094.1996057026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"steam_sccoe",15,484.189731033316,NA,NA,4,48.8194732948835,11,626.557498591898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fulmerscience",15,17408,NA,NA,7,3416,8,17140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kcsosstrong",15,1.09090909090909,NA,NA,5,0,10,1.09090909090909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nellkduke",15,2790,NA,NA,6,0,9,2790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"biocominstitute",15,0,NA,NA,7,0,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lbricker10",15,0,NA,NA,NA,NA,15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bridgeta007",14,23422.620754367,0,0,4,2812.93157667637,10,22344.8526450811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"techedarr",14,127765.082590566,4,1783.06389399723,2,523.023405240515,8,34092.7990525678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"biologygoddess",14,45438.6079294034,1,2,5,1452,8,45144.6489833811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"wewright1234",14,18103.3221734363,2,0,4,5262.92553031703,8,19462.5213341396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"brlowell",14,21502.01061119,3,261.887591346513,3,0,8,18585.3758821506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mcoe_now",14,5511.67223689518,NA,NA,0,0,14,5177.16967180049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"peterjmclaren",14,8747.54167056254,NA,NA,1,63.3114576581054,13,8923.95748445609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kolab77224156",14,126.169719566029,NA,NA,6,2,8,126.169719566029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"planssub",14,2321.28391381076,NA,NA,7,367.503267973856,7,2258.97166093953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mselizabethmahi",14,18345.1622096056,NA,NA,7,3453.06633231046,7,17085.6628620724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"roarnashville",14,0,NA,NA,7,0,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lyndaeagle98",14,0,2,0,5,0,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aserkin",14,0,3,0,NA,NA,11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ymcaeurope",14,0,NA,NA,7,0,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"jpssprogram",14,0,NA,NA,7,0,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"jerjacobsen250",14,0,NA,NA,NA,NA,14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cbsnews",14,0,NA,NA,NA,NA,14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"johnrussell82",14,0,NA,NA,NA,NA,14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cindygay",13,1211.02572731552,0,0,3,159.224064318367,10,1446.90587980131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"foley_amy",13,13198.2850635593,1,320,3,726,9,13240.1035946791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"maredimare",13,60185.0576556992,1,411,5,2900,7,59336.0597271646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"drspruitt",13,6805.75570678079,2,317.841696958694,NA,NA,11,6998.24151388328,FALSE,3,0,NA,NA,NA,NA,NA,NA,NA,NA,"Organization"
"missmoeteaches",13,63178.7051120743,2,0,3,0,8,62477.3821307388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"keithpiccard",13,14026.4952795323,5,1497.08559926318,1,0,7,13799.9267574223,FALSE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,"Teacher"
"pusdequitypl",13,2582.85735641665,0,0,4,0,9,2732.75453479548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"jengutierrez18",13,31748.9356467388,1,2,5,840.862995594793,7,31523.9919698138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"arcadiaunified",13,35854.1131722874,NA,NA,0,0,13,35272.5277572159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"alisalusd",13,8930.2522514119,1,0,0,0,12,8619.75104057527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"janejwagmeister",13,9632.46233914514,NA,NA,6,9,7,9428.96139454708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rrscotta",13,5656.41139464635,1,0,5,1977.53252211162,7,5615.27247788457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"instructup",13,9320.77237264527,NA,NA,6,2073.06576267172,7,9147.09790834241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
