"name","indegree_all","betweenness_all","indegree_reply","betweenness_reply","indegree_retweet","betweenness_retweet","indegree_mention","betweenness_mention","responded","indegree_survey","betweenness_survey","professional_role","professional_role_10_text_coded","freq_use","length_of_use","confidence_ngss","know_framework","know_ngss","use_of_ngsschat","code"
"middleweb",44,21156.3574724505,NA,NA,22,4374,22,20558.8669135104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"edustaton",43,56047.7127104164,3,0,19,3112.78979735042,21,54966.7459261925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"kaitmarieox",42,0,NA,NA,NA,NA,42,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dgianelos",41,42050.7496231039,0,0,19,4471.31865229991,22,41487.8576866253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s_m_kelly",41,89646.7485072183,3,809.318584823953,15,4363.38761229222,23,96882.0147757194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"filibuster3",41,31536.1873371716,10,8,6,9,25,29111.4780901189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tytoonline",41,48185.5325992214,NA,NA,15,2572.27888870799,26,47584.7791787297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"teachpasci",41,18360.9375422895,NA,NA,9,2553,32,17875.5617399731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"wstasci",40,14930.4495770845,NA,NA,17,4514.67134967514,23,14590.2024127308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tenstrands",40,20753.8275948127,NA,NA,19,3214.62169430739,21,20371.6754893464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sandiegocoe",40,0,NA,NA,4,0,36,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"wmgreed",39,17716.3180708299,4,898.57824491045,10,2188.33136296695,25,18212.1207418044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"activatescience",39,3444.68264081795,NA,NA,12,119.57176090302,27,3410.28192869619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dora_kastel",39,19667.4974790067,NA,NA,14,2985.08920358672,25,19011.7727945268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fljmendez",39,14531.3122934768,NA,NA,17,0,22,14846.9148282047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"hhereau",38,44158.3117687291,5,1079.73777984615,5,7777.40807034568,28,44393.5176349794,TRUE,3,24.25,"Organization","coach","Frequency of use varies (please describe)","3 years or more","Excellent","Excellent","Excellent","Monthly","Organization"
"troydsadler",38,19044.5630536146,1,0,18,0,19,18669.1446934838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"leenabmc",37,121465.257549024,13,4924.29695024411,9,5432.65870029056,15,112317.188260921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"jennysarna",37,15885.1138349305,4,9.81009863123993,10,2649.09766853218,23,15919.373476492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rightquestion",37,50670.7199094359,NA,NA,11,5676.26139019586,26,53915.4235605569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sciedhenry",37,6495.12800725964,NA,NA,13,998.218247277732,24,6829.81965639846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"jrosenberg6432",37,0,9,0,NA,NA,28,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mrb_emscats",37,0,NA,NA,14,0,23,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"racheljcox87",36,6274.2443594821,6,1546.3361837837,3,1983.8912972312,27,6066.04265552347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"heatherarich",35,35301.5102068362,4,496.439401362241,11,3055,20,34575.3418814678,FALSE,2,0,NA,NA,NA,NA,NA,NA,NA,NA,"Instructional Leader"
"steph4science",35,25385.5437993515,1,420.458494721653,13,16986.7940904114,21,24360.2988821855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"okheelee_",35,8764.82296420059,3,29.9985672863722,5,3767.90263565438,27,10374.4003390326,FALSE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,"Researcher"
"leadinsci",35,32955.2054113381,5,0,1,364,29,36196.5624343305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
